Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Preparation_Time_Min,order_month,orderd_hour
30.0,5.0,2022-04-01,1900-01-01 22:50:00,1900-01-01 23:05:00,Sunny,Low,Average,Meal,scooter,0.0,No,Metropolitian,10,15.0,4,22
33.0,4.8,2022-04-06,1900-01-01 18:55:00,1900-01-01 19:00:00,Windy,Medium,Poor,Buffet,motorcycle,1.0,No,Metropolitian,42,5.0,4,18
33.0,4.9,2022-04-04,1900-01-01 19:15:00,1900-01-01 19:30:00,Fog,Jam,Good,Buffet,scooter,1.0,No,Metropolitian,40,15.0,4,19
34.0,4.6,2022-03-11,1900-01-01 12:55:00,1900-01-01 13:10:00,Cloudy,High,Poor,Meal,motorcycle,1.0,No,Metropolitian,32,15.0,3,12
22.0,4.7,2022-02-14,1900-01-01 17:40:00,1900-01-01 17:50:00,Sunny,Medium,Good,Buffet,motorcycle,0.0,No,Urban,10,10.0,2,17
27.0,4.7,2022-03-21,1900-01-01 14:50:00,1900-01-01 15:05:00,Windy,High,Poor,Buffet,motorcycle,1.0,No,Metropolitian,22,15.0,3,14
21.0,4.9,2022-03-18,1900-01-01 18:15:00,1900-01-01 18:20:00,Windy,Medium,Average,Buffet,scooter,0.0,No,Metropolitian,17,5.0,3,18
23.0,4.6,2022-03-06,1900-01-01 17:45:00,1900-01-01 17:50:00,Fog,Medium,Average,Snack,motorcycle,2.0,No,Metropolitian,39,5.0,3,17
33.0,4.8,2022-04-03,1900-01-01 10:10:00,1900-01-01 10:15:00,Sunny,Low,Average,Snack,scooter,1.0,No,Metropolitian,19,5.0,4,10
25.0,4.6,2022-03-15,1900-01-01 18:50:00,1900-01-01 19:05:00,Stormy,Medium,Average,Buffet,scooter,1.0,No,Metropolitian,25,15.0,3,18
32.0,4.5,2022-04-02,1900-01-01 17:35:00,1900-01-01 17:40:00,Sunny,Medium,Poor,Snack,motorcycle,0.0,No,Metropolitian,26,5.0,4,17
23.0,4.7,2022-03-09,1900-01-01 18:55:00,1900-01-01 19:10:00,Windy,Medium,Good,Meal,scooter,1.0,No,Metropolitian,23,15.0,3,18
22.0,4.9,2022-03-29,1900-01-01 17:45:00,1900-01-01 17:55:00,Cloudy,Medium,Good,Meal,scooter,1.0,No,Metropolitian,26,10.0,3,17
36.0,4.5,2022-03-24,1900-01-01 20:30:00,1900-01-01 20:40:00,Windy,Jam,Good,Snack,electric_scooter,1.0,No,Urban,25,10.0,3,20
38.0,4.7,2022-03-11,1900-01-01 11:15:00,1900-01-01 11:25:00,Windy,High,Good,Buffet,scooter,1.0,No,Metropolitian,27,10.0,3,11
39.0,4.4,2022-03-18,1900-01-01 22:30:00,1900-01-01 22:40:00,Cloudy,Low,Good,Meal,scooter,1.0,No,Metropolitian,33,10.0,3,22
34.0,4.8,2022-03-19,1900-01-01 16:45:00,1900-01-01 16:55:00,Windy,Medium,Poor,Snack,motorcycle,1.0,No,Metropolitian,29,10.0,3,16
39.0,4.5,2022-03-16,1900-01-01 22:10:00,1900-01-01 22:15:00,Windy,Low,Good,Meal,scooter,1.0,No,Metropolitian,18,5.0,3,22
39.0,4.9,2022-04-06,1900-01-01 21:55:00,1900-01-01 22:00:00,Fog,Jam,Good,Buffet,scooter,1.0,Yes,Metropolitian,47,5.0,4,21
32.0,4.3,2022-04-02,1900-01-01 17:20:00,1900-01-01 17:25:00,Sunny,Medium,Poor,Drinks,motorcycle,1.0,No,Metropolitian,31,5.0,4,17
34.0,4.6,2022-03-08,1900-01-01 20:50:00,1900-01-01 21:05:00,Sunny,Jam,Good,Meal,scooter,1.0,No,Metropolitian,30,15.0,3,20
36.0,4.4,2022-03-20,1900-01-01 20:30:00,1900-01-01 20:40:00,Stormy,Jam,Poor,Meal,motorcycle,3.0,No,Metropolitian,51,10.0,3,20
22.0,4.8,2022-03-29,1900-01-01 19:25:00,1900-01-01 19:35:00,Cloudy,Jam,Poor,Drinks,motorcycle,1.0,No,Urban,46,10.0,3,19
31.0,5.0,2022-02-14,1900-01-01 22:55:00,1900-01-01 23:00:00,Sandstorms,Low,Average,Drinks,scooter,0.0,No,Metropolitian,17,5.0,2,22
34.0,4.6,2022-03-14,1900-01-01 21:00:00,1900-01-01 21:15:00,Fog,Jam,Poor,Drinks,motorcycle,2.0,No,Metropolitian,40,15.0,3,21
28.0,5.0,2022-03-10,1900-01-01 17:55:00,1900-01-01 18:00:00,Windy,Medium,Average,Meal,motorcycle,1.0,No,Metropolitian,28,5.0,3,17
28.0,4.2,2022-03-11,1900-01-01 22:15:00,1900-01-01 22:30:00,Windy,Low,Poor,Snack,motorcycle,1.0,No,Metropolitian,20,15.0,3,22
20.0,5.0,2022-02-17,1900-01-01 10:25:00,1900-01-01 10:35:00,Sunny,Low,Poor,Buffet,motorcycle,0.0,No,Urban,14,10.0,2,10
20.0,4.2,2022-04-06,1900-01-01 19:35:00,1900-01-01 19:40:00,Cloudy,Jam,Average,Snack,motorcycle,1.0,Yes,Metropolitian,44,5.0,4,19
27.0,4.1,2022-02-16,1900-01-01 20:45:00,1900-01-01 21:00:00,Fog,Jam,Good,Drinks,scooter,0.0,No,Urban,40,15.0,2,20
37.0,4.5,2022-04-06,1900-01-01 19:20:00,1900-01-01 19:30:00,Sunny,Jam,Average,Snack,motorcycle,1.0,No,Metropolitian,32,10.0,4,19
30.0,4.7,2022-03-03,1900-01-01 21:35:00,1900-01-01 21:45:00,Cloudy,Jam,Good,Snack,scooter,1.0,No,Metropolitian,27,10.0,3,21
23.0,4.7,2022-04-03,1900-01-01 18:55:00,1900-01-01 19:00:00,Sunny,Medium,Average,Drinks,motorcycle,1.0,No,Urban,16,5.0,4,18
34.0,4.2,2022-03-05,1900-01-01 12:40:00,1900-01-01 12:45:00,Sandstorms,High,Poor,Drinks,motorcycle,2.0,No,Metropolitian,37,5.0,3,12
21.0,4.8,2022-03-12,1900-01-01 22:25:00,1900-01-01 22:30:00,Cloudy,Low,Good,Meal,scooter,1.0,No,Metropolitian,21,5.0,3,22
24.0,5.0,2022-03-03,1900-01-01 09:20:00,1900-01-01 09:25:00,Fog,Low,Average,Buffet,motorcycle,0.0,No,Metropolitian,17,5.0,3,9
24.0,4.7,2022-03-20,1900-01-01 21:30:00,1900-01-01 21:35:00,Stormy,Jam,Good,Buffet,scooter,1.0,No,Metropolitian,29,5.0,3,21
36.0,5.0,2022-04-02,1900-01-01 19:45:00,1900-01-01 19:50:00,Fog,Jam,Average,Snack,motorcycle,0.0,No,Metropolitian,44,5.0,4,19
32.0,4.8,2022-02-15,1900-01-01 19:55:00,1900-01-01 20:05:00,Sunny,Jam,Poor,Drinks,motorcycle,1.0,No,Metropolitian,26,10.0,2,19
24.0,4.6,2022-03-09,1900-01-01 09:40:00,1900-01-01 09:50:00,Fog,Low,Poor,Snack,motorcycle,0.0,No,Metropolitian,18,10.0,3,9
39.0,4.6,2022-04-01,1900-01-01 23:00:00,1900-01-01 23:05:00,Cloudy,Low,Good,Buffet,scooter,1.0,No,Metropolitian,16,5.0,4,23
37.0,4.9,2022-03-17,1900-01-01 08:40:00,1900-01-01 08:50:00,Stormy,Low,Good,Drinks,scooter,1.0,No,Urban,24,10.0,3,8
35.0,4.6,2022-02-13,1900-01-01 17:40:00,1900-01-01 17:50:00,Cloudy,Medium,Good,Snack,scooter,1.0,No,Metropolitian,16,10.0,2,17
25.0,4.6,2022-03-29,1900-01-01 18:10:00,1900-01-01 18:15:00,Fog,Medium,Good,Meal,motorcycle,1.0,No,Metropolitian,30,5.0,3,18
27.0,4.0,2022-03-19,1900-01-01 09:00:00,1900-01-01 09:05:00,Windy,Low,Poor,Buffet,motorcycle,1.0,No,Metropolitian,24,5.0,3,9
31.0,4.6,2022-03-28,1900-01-01 09:55:00,1900-01-01 10:10:00,Windy,Low,Average,Meal,scooter,0.0,No,Metropolitian,26,15.0,3,9
23.0,4.9,2022-04-06,1900-01-01 19:40:00,1900-01-01 19:55:00,Sunny,Jam,Poor,Buffet,motorcycle,1.0,No,Metropolitian,30,15.0,4,19
30.0,4.5,2022-04-06,1900-01-01 18:00:00,1900-01-01 18:10:00,Stormy,Medium,Average,Meal,motorcycle,1.0,No,Metropolitian,29,10.0,4,18
22.0,4.0,2022-03-31,1900-01-01 21:40:00,1900-01-01 21:45:00,Sandstorms,Jam,Poor,Buffet,motorcycle,1.0,No,Urban,37,5.0,3,21
24.0,4.5,2022-02-13,1900-01-01 23:10:00,1900-01-01 23:25:00,Sunny,Low,Poor,Buffet,motorcycle,1.0,No,Urban,19,15.0,2,23
30.0,4.8,2022-04-03,1900-01-01 17:10:00,1900-01-01 17:25:00,Stormy,Medium,Good,Buffet,scooter,1.0,No,Metropolitian,30,15.0,4,17
31.0,4.6,2022-03-05,1900-01-01 11:35:00,1900-01-01 11:45:00,Sandstorms,High,Average,Drinks,scooter,1.0,No,Urban,30,10.0,3,11
31.0,4.9,2022-03-05,1900-01-01 20:15:00,1900-01-01 20:30:00,Stormy,Jam,Average,Drinks,motorcycle,1.0,No,Metropolitian,29,15.0,3,20
29.0,4.2,2022-03-28,1900-01-01 21:15:00,1900-01-01 21:25:00,Cloudy,Jam,Average,Meal,scooter,0.0,No,Metropolitian,34,10.0,3,21
26.0,4.8,2022-03-16,1900-01-01 17:20:00,1900-01-01 17:35:00,Sandstorms,Medium,Average,Buffet,scooter,1.0,No,Metropolitian,28,15.0,3,17
28.0,4.9,2022-03-14,1900-01-01 18:55:00,1900-01-01 19:00:00,Fog,Medium,Poor,Drinks,motorcycle,2.0,No,Metropolitian,41,5.0,3,18
31.0,4.8,2022-04-02,1900-01-01 22:40:00,1900-01-01 22:45:00,Sandstorms,Low,Good,Snack,scooter,0.0,No,Metropolitian,24,5.0,4,22
29.0,5.0,2022-03-11,1900-01-01 13:10:00,1900-01-01 13:20:00,Sandstorms,High,Average,Snack,motorcycle,1.0,No,Urban,23,10.0,3,13
28.0,5.0,2022-02-15,1900-01-01 21:00:00,1900-01-01 21:15:00,Cloudy,Jam,Poor,Buffet,motorcycle,1.0,No,Metropolitian,24,15.0,2,21
29.0,4.6,2022-04-06,1900-01-01 20:40:00,1900-01-01 20:45:00,Stormy,Jam,Average,Drinks,motorcycle,1.0,No,Metropolitian,25,5.0,4,20
27.0,4.5,2022-02-16,1900-01-01 18:35:00,1900-01-01 18:45:00,Windy,Medium,Good,Snack,electric_scooter,1.0,No,Metropolitian,25,10.0,2,18
28.0,4.7,2022-04-04,1900-01-01 23:10:00,1900-01-01 23:15:00,Fog,Low,Poor,Drinks,motorcycle,1.0,No,Metropolitian,23,5.0,4,23
32.0,4.7,2022-03-01,1900-01-01 08:15:00,1900-01-01 08:30:00,Windy,Low,Good,Snack,scooter,1.0,No,Metropolitian,29,15.0,3,8
21.0,4.7,2022-04-06,1900-01-01 20:55:00,1900-01-01 21:00:00,Cloudy,Jam,Poor,Snack,motorcycle,3.0,No,Metropolitian,44,5.0,4,20
24.0,4.8,2022-03-27,1900-01-01 18:50:00,1900-01-01 19:05:00,Stormy,Medium,Good,Drinks,motorcycle,0.0,No,Metropolitian,29,15.0,3,18
38.0,4.8,2022-03-26,1900-01-01 08:25:00,1900-01-01 08:30:00,Sunny,Low,Good,Drinks,electric_scooter,1.0,No,Urban,14,5.0,3,8
28.0,4.6,2022-03-01,1900-01-01 23:40:00,1900-01-01 23:55:00,Cloudy,Low,Poor,Buffet,motorcycle,1.0,No,Urban,22,15.0,3,23
20.0,4.9,2022-04-05,1900-01-01 10:50:00,1900-01-01 11:00:00,Sunny,Low,Average,Meal,motorcycle,0.0,No,Metropolitian,20,10.0,4,10
25.0,4.3,2022-03-30,1900-01-01 19:10:00,1900-01-01 19:20:00,Stormy,Jam,Poor,Snack,motorcycle,0.0,No,Metropolitian,32,10.0,3,19
38.0,4.6,2022-03-27,1900-01-01 22:30:00,1900-01-01 22:40:00,Cloudy,Low,Good,Snack,scooter,1.0,No,Metropolitian,29,10.0,3,22
30.0,4.1,2022-03-16,1900-01-01 22:15:00,1900-01-01 22:25:00,Fog,Low,Good,Snack,electric_scooter,1.0,No,Urban,31,10.0,3,22
32.0,4.9,2022-04-03,1900-01-01 22:20:00,1900-01-01 22:25:00,Windy,Low,Good,Snack,scooter,1.0,No,Urban,20,5.0,4,22
37.0,4.5,2022-02-14,1900-01-01 17:10:00,1900-01-01 17:15:00,Fog,Medium,Poor,Drinks,motorcycle,2.0,No,Metropolitian,38,5.0,2,17
28.0,4.7,2022-02-11,1900-01-01 20:35:00,1900-01-01 20:50:00,Sandstorms,Jam,Good,Drinks,scooter,0.0,No,Metropolitian,21,15.0,2,20
31.0,4.9,2022-04-06,1900-01-01 21:50:00,1900-01-01 21:55:00,Fog,Jam,Poor,Snack,motorcycle,0.0,No,Metropolitian,54,5.0,4,21
20.0,4.4,2022-03-15,1900-01-01 12:00:00,1900-01-01 12:10:00,Stormy,High,Poor,Meal,motorcycle,1.0,No,Metropolitian,39,10.0,3,12
38.0,4.6,2022-02-12,1900-01-01 22:50:00,1900-01-01 23:05:00,Fog,Low,Average,Buffet,motorcycle,1.0,No,Metropolitian,29,15.0,2,22
36.0,4.4,2022-03-18,1900-01-01 18:00:00,1900-01-01 18:05:00,Fog,Medium,Average,Buffet,scooter,0.0,No,Metropolitian,43,5.0,3,18
27.0,4.5,2022-03-14,1900-01-01 21:10:00,1900-01-01 21:15:00,Sandstorms,Jam,Average,Drinks,motorcycle,0.0,No,Metropolitian,27,5.0,3,21
36.0,5.0,2022-03-17,1900-01-01 14:30:00,1900-01-01 14:40:00,Stormy,High,Good,Meal,scooter,1.0,No,Urban,25,10.0,3,14
38.0,4.8,2022-03-28,1900-01-01 12:40:00,1900-01-01 12:50:00,Cloudy,High,Good,Snack,motorcycle,1.0,No,Metropolitian,28,10.0,3,12
39.0,3.8,2022-03-23,1900-01-01 20:20:00,1900-01-01 20:25:00,Windy,Jam,Average,Snack,motorcycle,2.0,No,Metropolitian,44,5.0,3,20
26.0,4.7,2022-02-13,1900-01-01 09:45:00,1900-01-01 09:55:00,Sunny,Low,Good,Meal,electric_scooter,0.0,No,Metropolitian,20,10.0,2,9
29.0,4.6,2022-03-26,1900-01-01 22:00:00,1900-01-01 22:10:00,Stormy,Jam,Average,Drinks,motorcycle,1.0,No,Metropolitian,17,10.0,3,22
24.0,4.9,2022-04-02,1900-01-01 22:10:00,1900-01-01 22:15:00,Cloudy,Low,Average,Snack,motorcycle,1.0,No,Metropolitian,21,5.0,4,22
21.0,4.9,2022-03-07,1900-01-01 22:20:00,1900-01-01 22:25:00,Fog,Low,Good,Snack,scooter,1.0,No,Metropolitian,15,5.0,3,22
22.0,4.6,2022-03-09,1900-01-01 21:45:00,1900-01-01 22:00:00,Windy,Jam,Good,Drinks,scooter,0.0,No,Metropolitian,14,15.0,3,21
22.0,4.5,2022-03-21,1900-01-01 08:35:00,1900-01-01 08:50:00,Stormy,Low,Good,Drinks,motorcycle,1.0,No,Metropolitian,16,15.0,3,8
37.0,4.7,2022-03-01,1900-01-01 09:45:00,1900-01-01 09:55:00,Sunny,Low,Average,Snack,scooter,0.0,No,Metropolitian,10,10.0,3,9
23.0,4.9,2022-03-14,1900-01-01 17:40:00,1900-01-01 17:50:00,Sunny,Medium,Poor,Buffet,motorcycle,1.0,No,Metropolitian,24,10.0,3,17
37.0,4.9,2022-04-04,1900-01-01 20:15:00,1900-01-01 20:25:00,Sandstorms,Jam,Good,Snack,electric_scooter,1.0,No,Metropolitian,27,10.0,4,20
29.0,4.0,2022-03-31,1900-01-01 20:35:00,1900-01-01 20:50:00,Cloudy,Jam,Good,Meal,scooter,1.0,No,Metropolitian,32,15.0,3,20
24.0,4.9,2022-03-25,1900-01-01 17:35:00,1900-01-01 17:50:00,Sunny,Medium,Average,Drinks,motorcycle,0.0,No,Metropolitian,15,15.0,3,17
22.0,4.6,2022-03-11,1900-01-01 16:20:00,1900-01-01 16:30:00,Stormy,Medium,Average,Buffet,motorcycle,0.0,No,Metropolitian,25,10.0,3,16
34.0,4.4,2022-03-14,1900-01-01 19:50:00,1900-01-01 19:55:00,Stormy,Jam,Average,Meal,motorcycle,1.0,No,Metropolitian,38,5.0,3,19
34.0,4.7,2022-02-17,1900-01-01 08:20:00,1900-01-01 08:30:00,Windy,Low,Good,Snack,scooter,1.0,No,Metropolitian,26,10.0,2,8
21.0,4.4,2022-02-14,1900-01-01 17:25:00,1900-01-01 17:30:00,Fog,Medium,Average,Snack,scooter,1.0,No,Metropolitian,34,5.0,2,17
22.0,4.9,2022-03-29,1900-01-01 18:50:00,1900-01-01 19:00:00,Windy,Medium,Good,Buffet,motorcycle,1.0,No,Urban,24,10.0,3,18
24.0,4.8,2022-02-11,1900-01-01 20:20:00,1900-01-01 20:30:00,Windy,Jam,Poor,Meal,motorcycle,1.0,No,Urban,15,10.0,2,20
33.0,4.8,2022-03-26,1900-01-01 09:35:00,1900-01-01 09:45:00,Windy,Low,Good,Meal,scooter,1.0,No,Metropolitian,20,10.0,3,9
31.0,4.7,2022-03-19,1900-01-01 18:45:00,1900-01-01 18:55:00,Cloudy,Medium,Good,Drinks,scooter,1.0,No,Metropolitian,16,10.0,3,18
39.0,4.9,2022-04-02,1900-01-01 21:00:00,1900-01-01 21:05:00,Fog,Jam,Poor,Drinks,motorcycle,1.0,No,Urban,42,5.0,4,21
26.0,4.6,2022-03-13,1900-01-01 17:10:00,1900-01-01 17:25:00,Sandstorms,Medium,Poor,Drinks,motorcycle,1.0,No,Metropolitian,19,15.0,3,17
20.0,4.3,2022-03-27,1900-01-01 20:35:00,1900-01-01 20:45:00,Cloudy,Jam,Good,Buffet,scooter,0.0,No,Metropolitian,41,10.0,3,20
35.0,3.5,2022-04-02,1900-01-01 18:35:00,1900-01-01 18:40:00,Stormy,Medium,Good,Buffet,motorcycle,2.0,No,Metropolitian,39,5.0,4,18
35.0,4.2,2022-02-13,1900-01-01 12:25:00,1900-01-01 12:35:00,Stormy,High,Poor,Meal,motorcycle,0.0,No,Metropolitian,39,10.0,2,12
38.0,4.7,2022-03-27,1900-01-01 22:10:00,1900-01-01 22:15:00,Sandstorms,Low,Average,Meal,scooter,1.0,No,Urban,20,5.0,3,22
36.0,4.2,2022-03-10,1900-01-01 21:00:00,1900-01-01 21:05:00,Sunny,Jam,Poor,Buffet,motorcycle,1.0,No,Metropolitian,34,5.0,3,21
26.0,4.9,2022-03-23,1900-01-01 19:45:00,1900-01-01 20:00:00,Cloudy,Jam,Poor,Meal,motorcycle,1.0,No,Metropolitian,36,15.0,3,19
21.0,4.7,2022-02-14,1900-01-01 20:55:00,1900-01-01 21:00:00,Sunny,Jam,Average,Drinks,motorcycle,0.0,No,Urban,15,5.0,2,20
22.0,4.3,2022-03-09,1900-01-01 23:25:00,1900-01-01 23:40:00,Sandstorms,Low,Poor,Buffet,motorcycle,0.0,No,Metropolitian,22,15.0,3,23
27.0,4.4,2022-03-31,1900-01-01 20:30:00,1900-01-01 20:40:00,Cloudy,Jam,Average,Drinks,motorcycle,2.0,No,Metropolitian,42,10.0,3,20
24.0,5.0,2022-03-20,1900-01-01 20:15:00,1900-01-01 20:30:00,Sunny,Jam,Good,Drinks,electric_scooter,1.0,No,Metropolitian,19,15.0,3,20
21.0,4.7,2022-04-01,1900-01-01 16:55:00,1900-01-01 17:00:00,Windy,Medium,Poor,Meal,motorcycle,1.0,No,Metropolitian,23,5.0,4,16
39.0,4.9,2022-02-12,1900-01-01 19:20:00,1900-01-01 19:35:00,Windy,Jam,Poor,Snack,motorcycle,0.0,Yes,Semi-Urban,50,15.0,2,19
30.0,4.7,2022-03-26,1900-01-01 10:25:00,1900-01-01 10:35:00,Cloudy,Low,Good,Meal,scooter,1.0,No,Urban,16,10.0,3,10
38.0,4.8,2022-02-11,1900-01-01 21:10:00,1900-01-01 21:20:00,Sunny,Jam,Good,Meal,motorcycle,1.0,No,Metropolitian,20,10.0,2,21
28.0,4.9,2022-04-05,1900-01-01 08:25:00,1900-01-01 08:30:00,Sandstorms,Low,Average,Meal,motorcycle,1.0,No,Metropolitian,15,5.0,4,8
30.0,4.9,2022-03-21,1900-01-01 09:50:00,1900-01-01 10:00:00,Fog,Low,Poor,Meal,motorcycle,0.0,No,Metropolitian,26,10.0,3,9
36.0,4.5,2022-04-05,1900-01-01 19:55:00,1900-01-01 20:00:00,Sunny,Jam,Good,Snack,motorcycle,1.0,No,Metropolitian,21,5.0,4,19
37.0,4.9,2022-04-06,1900-01-01 23:30:00,1900-01-01 23:35:00,Cloudy,Low,Good,Meal,electric_scooter,1.0,No,Metropolitian,26,5.0,4,23
20.0,4.9,2022-03-01,1900-01-01 17:15:00,1900-01-01 17:20:00,Stormy,Medium,Poor,Buffet,motorcycle,1.0,No,Metropolitian,14,5.0,3,17
27.0,4.8,2022-04-03,1900-01-01 20:25:00,1900-01-01 20:30:00,Sandstorms,Jam,Average,Meal,motorcycle,0.0,No,Urban,18,5.0,4,20
39.0,5.0,2022-03-08,1900-01-01 18:35:00,1900-01-01 18:40:00,Windy,Medium,Poor,Buffet,motorcycle,2.0,No,Metropolitian,47,5.0,3,18
24.0,4.5,2022-03-29,1900-01-01 22:50:00,1900-01-01 23:05:00,Cloudy,Low,Poor,Meal,motorcycle,1.0,No,Metropolitian,23,15.0,3,22
39.0,4.6,2022-03-23,1900-01-01 23:15:00,1900-01-01 23:20:00,Sandstorms,Low,Average,Buffet,scooter,1.0,No,Metropolitian,20,5.0,3,23
24.0,4.9,2022-03-16,1900-01-01 21:10:00,1900-01-01 21:25:00,Windy,Jam,Poor,Meal,motorcycle,1.0,No,Metropolitian,31,15.0,3,21
21.0,5.0,2022-03-30,1900-01-01 17:55:00,1900-01-01 18:00:00,Cloudy,Medium,Poor,Meal,motorcycle,1.0,No,Metropolitian,22,5.0,3,17
26.0,4.7,2022-03-19,1900-01-01 08:50:00,1900-01-01 08:55:00,Cloudy,Low,Average,Snack,scooter,1.0,No,Urban,12,5.0,3,8
30.0,4.5,2022-03-12,1900-01-01 20:30:00,1900-01-01 20:35:00,Windy,Jam,Average,Meal,motorcycle,1.0,No,Metropolitian,34,5.0,3,20
38.0,4.8,2022-02-14,1900-01-01 22:50:00,1900-01-01 22:55:00,Windy,Low,Good,Buffet,scooter,1.0,No,Urban,24,5.0,2,22
21.0,4.7,2022-03-15,1900-01-01 17:25:00,1900-01-01 17:40:00,Stormy,Medium,Poor,Meal,motorcycle,0.0,No,Urban,13,15.0,3,17
25.0,4.6,2022-04-06,1900-01-01 17:10:00,1900-01-01 17:20:00,Sandstorms,Medium,Poor,Drinks,motorcycle,1.0,No,Metropolitian,22,10.0,4,17
39.0,4.8,2022-03-27,1900-01-01 19:50:00,1900-01-01 20:00:00,Sunny,Jam,Good,Buffet,scooter,1.0,No,Metropolitian,25,10.0,3,19
26.0,4.8,2022-02-16,1900-01-01 21:50:00,1900-01-01 22:00:00,Cloudy,Jam,Average,Buffet,motorcycle,0.0,No,Metropolitian,42,10.0,2,21
28.0,5.0,2022-04-05,1900-01-01 18:50:00,1900-01-01 19:00:00,Windy,Medium,Poor,Snack,motorcycle,0.0,No,Metropolitian,27,10.0,4,18
26.0,4.8,2022-03-10,1900-01-01 20:00:00,1900-01-01 20:05:00,Cloudy,Jam,Poor,Drinks,motorcycle,0.0,No,Metropolitian,37,5.0,3,20
38.0,4.7,2022-04-01,1900-01-01 09:55:00,1900-01-01 10:05:00,Windy,Low,Average,Drinks,scooter,1.0,No,Metropolitian,26,10.0,4,9
23.0,4.6,2022-03-04,1900-01-01 22:45:00,1900-01-01 23:00:00,Sandstorms,Low,Average,Buffet,scooter,1.0,No,Urban,15,15.0,3,22
38.0,4.7,2022-03-25,1900-01-01 18:15:00,1900-01-01 18:30:00,Fog,Medium,Average,Meal,motorcycle,1.0,No,Metropolitian,30,15.0,3,18
36.0,4.8,2022-03-27,1900-01-01 21:25:00,1900-01-01 21:35:00,Sandstorms,Jam,Poor,Drinks,motorcycle,1.0,No,Semi-Urban,53,10.0,3,21
28.0,4.7,2022-03-28,1900-01-01 11:15:00,1900-01-01 11:30:00,Windy,High,Good,Drinks,scooter,1.0,No,Metropolitian,18,15.0,3,11
38.0,4.3,2022-03-28,1900-01-01 12:35:00,1900-01-01 12:45:00,Windy,High,Poor,Drinks,motorcycle,1.0,No,Metropolitian,31,10.0,3,12
39.0,4.9,2022-03-12,1900-01-01 17:20:00,1900-01-01 17:30:00,Sunny,Medium,Average,Drinks,motorcycle,1.0,No,Metropolitian,26,10.0,3,17
25.0,4.9,2022-03-21,1900-01-01 22:00:00,1900-01-01 22:15:00,Sandstorms,Jam,Poor,Buffet,motorcycle,1.0,No,Urban,25,15.0,3,22
39.0,4.9,2022-03-12,1900-01-01 18:55:00,1900-01-01 19:00:00,Sunny,Medium,Average,Snack,scooter,0.0,No,Metropolitian,19,5.0,3,18
30.0,4.8,2022-03-30,1900-01-01 10:20:00,1900-01-01 10:25:00,Cloudy,Low,Good,Meal,scooter,1.0,No,Metropolitian,16,5.0,3,10
24.0,4.8,2022-03-17,1900-01-01 14:55:00,1900-01-01 15:10:00,Windy,High,Good,Drinks,motorcycle,1.0,No,Metropolitian,25,15.0,3,14
27.0,4.5,2022-02-15,1900-01-01 20:40:00,1900-01-01 20:55:00,Cloudy,Jam,Good,Snack,scooter,1.0,No,Metropolitian,23,15.0,2,20
23.0,4.8,2022-03-20,1900-01-01 18:25:00,1900-01-01 18:30:00,Sandstorms,Medium,Average,Meal,motorcycle,0.0,No,Metropolitian,22,5.0,3,18
26.0,4.5,2022-04-06,1900-01-01 21:10:00,1900-01-01 21:15:00,Sandstorms,Jam,Average,Meal,motorcycle,0.0,No,Metropolitian,21,5.0,4,21
34.0,5.0,2022-03-11,1900-01-01 08:45:00,1900-01-01 08:55:00,Fog,Low,Good,Meal,electric_scooter,1.0,No,Metropolitian,15,10.0,3,8
20.0,4.7,2022-04-05,1900-01-01 23:20:00,1900-01-01 23:35:00,Stormy,Low,Good,Meal,motorcycle,1.0,No,Metropolitian,19,15.0,4,23
30.0,4.3,2022-03-15,1900-01-01 09:40:00,1900-01-01 09:45:00,Sandstorms,Low,Poor,Snack,motorcycle,1.0,No,Metropolitian,27,5.0,3,9
39.0,4.4,2022-04-01,1900-01-01 17:40:00,1900-01-01 17:55:00,Sandstorms,Medium,Good,Snack,scooter,2.0,No,Metropolitian,34,15.0,4,17
38.0,4.7,2022-03-09,1900-01-01 22:40:00,1900-01-01 22:45:00,Sunny,Low,Good,Buffet,electric_scooter,0.0,No,Metropolitian,11,5.0,3,22
34.0,4.5,2022-03-30,1900-01-01 19:45:00,1900-01-01 19:50:00,Sunny,Jam,Average,Meal,motorcycle,0.0,No,Metropolitian,24,5.0,3,19
35.0,4.8,2022-03-28,1900-01-01 23:00:00,1900-01-01 23:15:00,Cloudy,Low,Poor,Snack,motorcycle,1.0,No,Metropolitian,22,15.0,3,23
27.0,4.5,2022-03-15,1900-01-01 23:00:00,1900-01-01 23:15:00,Fog,Low,Poor,Drinks,motorcycle,0.0,No,Urban,16,15.0,3,23
20.0,5.0,2022-03-15,1900-01-01 21:10:00,1900-01-01 21:25:00,Stormy,Jam,Average,Snack,motorcycle,1.0,No,Metropolitian,16,15.0,3,21
25.0,4.7,2022-03-07,1900-01-01 17:10:00,1900-01-01 17:20:00,Stormy,Medium,Poor,Meal,motorcycle,1.0,No,Metropolitian,24,10.0,3,17
36.0,4.4,2022-03-29,1900-01-01 19:20:00,1900-01-01 19:30:00,Sandstorms,Jam,Good,Snack,electric_scooter,1.0,No,Metropolitian,37,10.0,3,19
